Name,Studio,Genres
Demon Slayer: Kimetsu no Yaiba - Entertainment District Arc,ufotable,"Action, Adventure, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Explicit Violence"
Fruits Basket the Final Season,TMS Entertainment,"Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Mental Illness, Orphans, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Suicide,, Violence,, Domestic Abuse"
Mo Dao Zu Shi 3,B.C MAY PICTURES,"Fantasy, Ancient China, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel"
Fullmetal Alchemist: Brotherhood,Bones,"Action, Adventure, Drama, Fantasy, Mystery, Shounen, Conspiracy, Death of a Loved One, Military, Siblings, Based on a Manga, Animal Abuse,, Mature Themes,, Violence,, Domestic Abuse"
Attack on Titan 3rd Season: Part II,WIT Studio,"Action, Fantasy, Horror, Shounen, Dark Fantasy, Isolated Society, Military, Outside World, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
Jujutsu Kaisen,MAPPA,"Action, Horror, Shounen, Curse, Exorcists, Monsters, School Life, Supernatural, Based on a Manga, Explicit Violence"
Attack on Titan The Final Season: Part II,MAPPA,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga"
Attack on Titan The Final Season,MAPPA,"Action, Drama, Fantasy, Horror, Shounen, Dark Fantasy, Military, War, Based on a Manga, Explicit Violence,, Mature Themes,, Physical Abuse,, Suicide"
Demon Slayer: Kimetsu no Yaiba Movie - Mugen Train,ufotable,"Action, Drama, Fantasy, Shounen, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence"
Haikyuu!! Karasuno High School vs Shiratorizawa Academy,Production I.G,"Shounen, Sports, Animeism, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
your name.,CoMix Wave Films,"Drama, Romance, Body Swapping, Gender Bender, Opposites Attract, School Life, Supernatural, Original Work"
Haikyuu!! Second Season,Production I.G,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
Demon Slayer: Kimetsu no Yaiba,ufotable,"Action, Adventure, Comedy, Drama, Fantasy, Shounen, Death of a Loved One, Demons, Historical, Martial Arts, Orphans, Siblings, Swordplay, Based on a Manga, Violence"
Hunter x Hunter (2011),MADHOUSE,"Action, Adventure, Drama, Fantasy, Shounen, Monsters, Superpowers, Based on a Manga, Violence"
A Silent Voice,Kyoto Animation,"Drama, Shounen, Disability, Melancholy, Mental Illness, School Life, Based on a Manga, Bullying,, Mature Themes,, Suicide"
Violet Evergarden Movie,Kyoto Animation,"Drama, Melancholy, War, Based on a Light Novel, Violence"
Haikyuu!! To the Top: Part II,Production I.G,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga"
Heaven Official's Blessing Special,Haoliners Animation League,"BL, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Ghosts, Gods, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Royalty, Supernatural, Xianxia, Based on a Web Novel"
That Time I Got Reincarnated as a Slime Season 2,8-Bit,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga"
Given,Lerche,"BL, Drama, Romance, Shounen-ai, Death of a Loved One, Music, noitaminA, Based on a Manga, Mature Themes,, Suicide"
Code Geass: Lelouch of the Rebellion R2,Sunrise,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work"
Mo Dao Zu Shi 2,B.C MAY PICTURES,"Action, Fantasy, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Martial Arts, Overpowered Main Characters, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence"
Gintama: The Very Final,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Gag, Parody, Samurai, Swordplay, Based on a Manga, Violence"
Link Click,Studio LAN,"Drama, Fantasy, Chinese Animation, Contemporary Fantasy, Superpowers, Time Travel, Urban Fantasy, Original Work, Violence"
Mob Psycho 100 II,Bones,"Action, Comedy, Exorcists, Psychic Powers, Psychological, School Life, Supernatural, Superpowers, Based on a Manga, Violence"
Haikyuu!! To the Top,Production I.G,"Shounen, Sports, Animeism, School Club, Tournaments, Volleyball, Based on a Manga"
Fruits Basket 2nd Season,8 Pan,"Comedy, Drama, Fantasy, Romance, Shoujo, Animal Transformation, Contemporary Fantasy, Curse, Dysfunctional Families, Love Triangle, Mental Illness, Orphans, Based on a Manga, Bullying,, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
The Promised Neverland,CloverWorks,"Fantasy, Horror, Mystery, Sci Fi, Shounen, Dark Fantasy, Isolated Society, Mind Games, noitaminA, Orphans, Outside World, Psychological, Thriller, Based on a Manga, Mature Themes,, Domestic Abuse,, Self-Harm"
Spirited Away,Studio Ghibli,"Adventure, Fantasy, Curse, Family Friendly, Japanese Mythology, Magic, Person in a Strange World, Youkai, Original Work"
That Time I Got Reincarnated as a Slime Season 2: Part II,8-Bit,"Action, Adventure, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Physical Abuse"
Heaven Official's Blessing,Haoliners Animation League,"Action, BL, Comedy, Drama, Romance, Shounen-ai, Afterlife, Ancient China, Chinese Animation, Demon King, Demons, Ghosts, Gods, Heaven, Historical, Interspecies Relationship, Non-Human Protagonists, Opposites Attract, Religion, Royalty, Supernatural, Xianxia, Based on a Web Novel, Bullying,, Violence"
Ranking of Kings,WIT Studio,"Action, Adventure, Fantasy, Coming of Age, Disability, Royalty, Based on a Manga, Violence"
Mushoku Tensei: Jobless Reincarnation - Part II,Studio Bind,"Action, Adventure, Drama, Fantasy, Romance, Demons, Isekai, Magic, NEET, Person in a Strange World, Reincarnation, Based on a Light Novel, Mature Themes,, Violence"
Gintama.: Shirogane no Tamashii-hen 2,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
Clannad After Story,Kyoto Animation,"Drama, Romance, Adult Couples, Coming of Age, Family Life, Illness, Based on a Visual Novel, Drug Use,, Mature Themes"
Mo Dao Zu Shi,B.C MAY PICTURES,"Action, Adventure, Mystery, Ancient China, Chinese Animation, Cultivation, Historical, Rebellions, Supernatural, Swordplay, War, Xianxia, Zombies, Based on a Web Novel, Violence"
Gintama': Enchousen,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
Banana Fish,MAPPA,"Action, Drama, Shoujo, America, Criminals, Gangs, noitaminA, Based on a Manga, Drug Use,, Mature Themes,, Physical Abuse,, Prostitution,, Sexual Abuse,, Violence"
Douluo Dalu 2,Sparkly Key Animation Studio,"Action, Fantasy, Chinese Animation, Cultivation, Xianxia, Based on a Web Novel, CG Animation"
Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Feudal Japan, Samurai, Swordplay, Time Travel, Based on a Manga"
Gintama.,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
Gintama.: Shirogane no Tamashii-hen,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Crude, Feudal Japan, Gag, Samurai, Slapstick, Swordplay, Based on a Manga"
Attack on Titan 3rd Season,WIT Studio,"Action, Fantasy, Horror, Dark Fantasy, Isolated Society, Military, Outside World, Political, Post-apocalyptic, Based on a Manga, Cannibalism,, Explicit Violence"
Steins;Gate,WHITE FOX,"Sci Fi, Conspiracy, LGBT Themes, Psychological, Thriller, Time Travel, Based on a Visual Novel, Mature Themes,, Suicide"
Haikyuu!!,Production I.G,"Shounen, Sports, School Club, School Life, Tournaments, Volleyball, Based on a Manga"
Gintama',Sunrise,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
One-Punch Man,MADHOUSE,"Action, Comedy, Sci Fi, Seinen, Cyborgs, Monsters, Overpowered Main Characters, Parody, Satire, Superheroes, Superpowers, Based on a Manga, Explicit Violence"
Demon Slayer: Kimetsu no Yaiba - Mugen Train,ufotable,"Action, Drama, Fantasy, Shounen, Demons, Historical, Orphans, Siblings, Swordplay, Trains, Based on a Manga, Mature Themes,, Suicide,, Violence"
Gintama°,BN Pictures,"Action, Comedy, Drama, Sci Fi, Shounen, Aliens, Breaking the Fourth Wall, Crude, Feudal Japan, Gag, Parody, Samurai, Slapstick, Swordplay, Based on a Manga"
Howl's Moving Castle,Studio Ghibli,"Adventure, Fantasy, Romance, Curse, Family Friendly, Lifestyle Change, Magic, Witches, Based on a Novel"
Natsume's Book of Friends Season 6,Shuka,"Drama, Fantasy, Shoujo, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
JoJo's Bizarre Adventure: Golden Wind,David Production,"Action, Adventure, Shounen, Europe, Italy, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes"
JoJo's Bizarre Adventure: Stone Ocean,David Production,"Action, Adventure, Shounen, America, Prison, Supernatural, Based on a Manga"
Vinland Saga,WIT Studio,"Action, Seinen, Death of a Loved One, England, Europe, Historical, Medieval, Revenge, Swordplay, War, Weak to Strong, Based on a Manga, Violence"
Natsume's Book of Friends Season 4,Brain's Base,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
Assassination Classroom 2nd Season,Lerche,"Action, Comedy, Sci Fi, Shounen, Assassins, Non-Human Protagonists, Overpowered Main Characters, Parody, School Life, Teaching, Based on a Manga"
Natsume's Book of Friends Season 5,Shuka,"Drama, Shoujo, Slice of Life, Bodyguards, Cats, Countryside, Episodic, Iyashikei, Japanese Mythology, Orphans, Supernatural, Youkai, Based on a Manga"
My Hero Academia 3,Bones,"Action, Comedy, Drama, Sci Fi, Shounen, Superheroes, Superpowers, Based on a Manga, Violence"
Violet Evergarden,Kyoto Animation,"Drama, Lifestyle Change, Melancholy, War, Based on a Light Novel, Violence"
That Time I Got Reincarnated as a Slime,8-Bit,"Action, Adventure, Comedy, Fantasy, Shounen, Cheats, Demons, Isekai, Kingdom Building, Magic, Management, Modern Knowledge, Monsters, Non-Human Protagonists, Overpowered Main Characters, Person in a Strange World, Political, Reincarnation, RPG, Slimes, Based on a Manga, Violence"
My Hero Academia 2,Bones,"Action, Comedy, Drama, Sci Fi, Shounen, School Life, Superheroes, Superpowers, Tournaments, Weak to Strong, Based on a Manga, Emotional Abuse,, Mature Themes,, Physical Abuse,, Violence,, Domestic Abuse"
Wolf Children,Studio Chizu,"Fantasy, Slice of Life, Animal Characteristics, Animal Transformation, Childcare, Coming of Age, Contemporary Fantasy, Countryside, Death of a Loved One, Family Life, Lifestyle Change, Single Parent, Werewolves, Original Work, Nudity"
SK8 the Infinity,Bones,"Comedy, Sports, Racing, Original Work, Emotional Abuse,, Mature Themes,, Physical Abuse,, Domestic Abuse"
Hajime no Ippo: The Fighting!,MADHOUSE,"Action, Drama, Shounen, Sports, Boxing, Hand to Hand Combat, Weak to Strong, Based on a Manga"
Code Geass: Lelouch of the Rebellion,Sunrise,"Mecha, Sci Fi, Conspiracy, Mind Games, Overpowered Main Characters, Political, Psychological, Real Robot, Rebellions, Revenge, Rivalries, Royalty, Secret Identity, Superpowers, Terrorism, Original Work, Nudity,, Violence"
JoJo’s Bizarre Adventure: Stardust Crusaders - Battle in Egypt,David Production,"Action, Adventure, Comedy, Shounen, Monster-of-the-week, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Explicit Violence,, Mature Themes"
Yona of the Dawn: Zeno Arc,Pierrot,"Action, Adventure, Drama, Fantasy, Romance, Shoujo, Death of a Loved One, Orphans, Political, Royalty, Based on a Manga, Violence"
JoJo's Bizarre Adventure: Diamond is Unbreakable,David Production,"Action, Mystery, Shounen, Proxy Battles, Supernatural, Based on a Manga, Animal Abuse,, Mature Themes,, Violence"
Kamisama Kiss: Kako-hen,TMS Entertainment,"Comedy, Romance, Shoujo, Animal Characteristics, Interspecies Relationship, Japanese Mythology, Master-Servant Relationship, Non-Human Protagonists, Based on a Manga"
